PLAYER_ID,PLAYER_NAME_LAST_FIRST,SORT_ORDER,GP,G,SHOT_TYPE,FGA_FREQUENCY,FGM,FGA,FG_PCT,EFG_PCT,FG2A_FREQUENCY,FG2M,FG2A,FG2_PCT,FG3A_FREQUENCY,FG3M,FG3A,FG3_PCT,Player
201939,"Curry, Stephen",4,54,4,Other,0.004,2,4,0.5,0.75,0.001,0,1,0.0,0.003,2,3,0.667,Stephen Curry
1631218,"Jackson-Davis, Trayce",1,50,2,Catch and Shoot,0.007,0,2,0.0,0.0,0.007,0,2,0.0,0.0,0,0,,Trayce Jackson-Davis
1631218,"Jackson-Davis, Trayce",2,50,1,Pull Ups,0.004,0,1,0.0,0.0,0.004,0,1,0.0,0.0,0,0,,Trayce Jackson-Davis
1631218,"Jackson-Davis, Trayce",3,50,47,Less than 10 ft,0.985,157,271,0.579,0.579,0.985,157,271,0.579,0.0,0,0,,Trayce Jackson-Davis
1631218,"Jackson-Davis, Trayce",4,50,1,Other,0.004,0,1,0.0,0.0,0.0,0,0,,0.004,0,1,0.0,Trayce Jackson-Davis
1642050,"Rowe, Jackson",1,5,4,Catch and Shoot,0.533,2,8,0.25,0.375,0.0,0,0,,0.533,2,8,0.25,Jackson Rowe
1642050,"Rowe, Jackson",2,5,1,Pull Ups,0.067,0,1,0.0,0.0,0.0,0,0,,0.067,0,1,0.0,Jackson Rowe
1642050,"Rowe, Jackson",3,5,4,Less than 10 ft,0.4,4,6,0.667,0.667,0.4,4,6,0.667,0.0,0,0,,Jackson Rowe
1630311,"Spencer, Pat",1,29,8,Catch and Shoot,0.143,2,12,0.167,0.25,0.012,0,1,0.0,0.131,2,11,0.182,Pat Spencer
1630311,"Spencer, Pat",2,29,9,Pull Ups,0.214,8,18,0.444,0.444,0.143,8,12,0.667,0.071,0,6,0.0,Pat Spencer
1630311,"Spencer, Pat",3,29,21,Less than 10 ft,0.643,23,54,0.426,0.426,0.643,23,54,0.426,0.0,0,0,,Pat Spencer
