PLAYER_ID,PLAYER_NAME_LAST_FIRST,SORT_ORDER,GP,G,CLOSE_DEF_DIST_RANGE,FGA_FREQUENCY,FGM,FGA,FG_PCT,EFG_PCT,FG2A_FREQUENCY,FG2M,FG2A,FG2_PCT,FG3A_FREQUENCY,FG3M,FG3A,FG3_PCT,Player
201939,"Curry, Stephen",4,54,49,6+ Feet - Wide Open,0.172,75,168,0.446,0.652,0.013,6,13,0.462,0.159,69,155,0.445,Stephen Curry
1631218,"Jackson-Davis, Trayce",3,50,2,4-6 Feet - Open,0.007,0,2,0.0,0.0,0.004,0,1,0.0,0.004,0,1,0.0,Trayce Jackson-Davis
1631218,"Jackson-Davis, Trayce",4,50,2,6+ Feet - Wide Open,0.007,0,2,0.0,0.0,0.007,0,2,0.0,0.0,0,0,,Trayce Jackson-Davis
1642050,"Rowe, Jackson",2,5,1,2-4 Feet - Tight,0.067,0,1,0.0,0.0,0.0,0,0,,0.067,0,1,0.0,Jackson Rowe
1642050,"Rowe, Jackson",3,5,4,4-6 Feet - Open,0.4,2,6,0.333,0.5,0.0,0,0,,0.4,2,6,0.333,Jackson Rowe
1642050,"Rowe, Jackson",4,5,1,6+ Feet - Wide Open,0.133,0,2,0.0,0.0,0.0,0,0,,0.133,0,2,0.0,Jackson Rowe
1630311,"Spencer, Pat",1,29,1,0-2 Feet - Very Tight,0.012,0,1,0.0,0.0,0.012,0,1,0.0,0.0,0,0,,Pat Spencer
1630311,"Spencer, Pat",2,29,5,2-4 Feet - Tight,0.071,4,6,0.667,0.667,0.071,4,6,0.667,0.0,0,0,,Pat Spencer
1630311,"Spencer, Pat",3,29,3,4-6 Feet - Open,0.06,2,5,0.4,0.4,0.036,2,3,0.667,0.024,0,2,0.0,Pat Spencer
1630311,"Spencer, Pat",4,29,11,6+ Feet - Wide Open,0.214,4,18,0.222,0.278,0.036,2,3,0.667,0.179,2,15,0.133,Pat Spencer
