PLAYER_ID,PLAYER_NAME_LAST_FIRST,SORT_ORDER,GP,G,DRIBBLE_RANGE,FGA_FREQUENCY,FGM,FGA,FG_PCT,EFG_PCT,FG2A_FREQUENCY,FG2M,FG2A,FG2_PCT,FG3A_FREQUENCY,FG3M,FG3A,FG3_PCT,Player
1642366,"Post, Quinten",1,25,24,0 Dribbles,0.85,67,142,0.472,0.623,0.263,24,44,0.545,0.587,43,98,0.439,Quinten Post
1642366,"Post, Quinten",2,25,8,1 Dribble,0.066,6,11,0.545,0.591,0.06,5,10,0.5,0.006,1,1,1.0,Quinten Post
1642366,"Post, Quinten",3,25,3,2 Dribbles,0.018,1,3,0.333,0.333,0.018,1,3,0.333,0.0,0,0,,Quinten Post
1642366,"Post, Quinten",4,25,10,3-6 Dribbles,0.06,4,10,0.4,0.4,0.06,4,10,0.4,0.0,0,0,,Quinten Post
1642366,"Post, Quinten",5,25,1,7+ Dribbles,0.006,0,1,0.0,0.0,0.006,0,1,0.0,0.0,0,0,,Quinten Post
203110,"Green, Draymond",1,50,49,0 Dribbles,0.683,102,248,0.411,0.512,0.251,52,91,0.571,0.433,50,157,0.318,Draymond Green
203110,"Green, Draymond",2,50,30,1 Dribble,0.152,28,55,0.509,0.545,0.138,24,50,0.48,0.014,4,5,0.8,Draymond Green
203110,"Green, Draymond",3,50,18,2 Dribbles,0.072,11,26,0.423,0.423,0.069,11,25,0.44,0.003,0,1,0.0,Draymond Green
203110,"Green, Draymond",4,50,20,3-6 Dribbles,0.077,11,28,0.393,0.393,0.074,11,27,0.407,0.003,0,1,0.0,Draymond Green
203110,"Green, Draymond",5,50,5,7+ Dribbles,0.017,3,6,0.5,0.5,0.017,3,6,0.5,0.0,0,0,,Draymond Green
201939,"Curry, Stephen",1,54,54,0 Dribbles,0.362,163,353,0.462,0.636,0.063,40,61,0.656,0.3,123,292,0.421,Stephen Curry
201939,"Curry, Stephen",2,54,45,1 Dribble,0.115,53,112,0.473,0.625,0.041,19,40,0.475,0.074,34,72,0.472,Stephen Curry
201939,"Curry, Stephen",3,54,39,2 Dribbles,0.069,36,67,0.537,0.649,0.038,21,37,0.568,0.031,15,30,0.5,Stephen Curry
201939,"Curry, Stephen",4,54,50,3-6 Dribbles,0.185,84,180,0.467,0.553,0.102,53,99,0.535,0.083,31,81,0.383,Stephen Curry
201939,"Curry, Stephen",5,54,52,7+ Dribbles,0.269,102,262,0.389,0.471,0.13,59,127,0.465,0.139,43,135,0.319,Stephen Curry
1631218,"Jackson-Davis, Trayce",1,50,43,0 Dribbles,0.636,106,175,0.606,0.606,0.633,106,174,0.609,0.004,0,1,0.0,Trayce Jackson-Davis
1631218,"Jackson-Davis, Trayce",2,50,32,1 Dribble,0.251,39,69,0.565,0.565,0.251,39,69,0.565,0.0,0,0,,Trayce Jackson-Davis
1631218,"Jackson-Davis, Trayce",3,50,11,2 Dribbles,0.04,3,11,0.273,0.273,0.04,3,11,0.273,0.0,0,0,,Trayce Jackson-Davis
1631218,"Jackson-Davis, Trayce",4,50,14,3-6 Dribbles,0.065,8,18,0.444,0.444,0.065,8,18,0.444,0.0,0,0,,Trayce Jackson-Davis
1631218,"Jackson-Davis, Trayce",5,50,2,7+ Dribbles,0.007,1,2,0.5,0.5,0.007,1,2,0.5,0.0,0,0,,Trayce Jackson-Davis
1642050,"Rowe, Jackson",1,5,5,0 Dribbles,0.8,6,12,0.5,0.583,0.267,4,4,1.0,0.533,2,8,0.25,Jackson Rowe
1642050,"Rowe, Jackson",3,5,1,2 Dribbles,0.133,0,2,0.0,0.0,0.067,0,1,0.0,0.067,0,1,0.0,Jackson Rowe
1642050,"Rowe, Jackson",4,5,1,3-6 Dribbles,0.067,0,1,0.0,0.0,0.067,0,1,0.0,0.0,0,0,,Jackson Rowe
1630311,"Spencer, Pat",1,29,13,0 Dribbles,0.31,11,26,0.423,0.462,0.179,9,15,0.6,0.131,2,11,0.182,Pat Spencer
1630311,"Spencer, Pat",2,29,9,1 Dribble,0.131,4,11,0.364,0.364,0.119,4,10,0.4,0.012,0,1,0.0,Pat Spencer
1630311,"Spencer, Pat",3,29,7,2 Dribbles,0.131,3,11,0.273,0.273,0.119,3,10,0.3,0.012,0,1,0.0,Pat Spencer
1630311,"Spencer, Pat",4,29,14,3-6 Dribbles,0.31,11,26,0.423,0.423,0.298,11,25,0.44,0.012,0,1,0.0,Pat Spencer
1630311,"Spencer, Pat",5,29,6,7+ Dribbles,0.119,4,10,0.4,0.4,0.083,4,7,0.571,0.036,0,3,0.0,Pat Spencer
